idx1	idx2	sire	dam	sex	generation	k.grm	k.ped	ped.kin
30614.1	28	294	22554.1	25695.1	1	F40	0.05825527933	0.552274955704422	22554 25695 30612 30613 30614
35313.1	28	555	30013.1	30027.1	2	F41	0.05334702591	0.400118626291484	30027 35312 35313 35314
22675.1	29	29	24306.1	23762.1	2	F39	0.5737269154	0.695121930672375	22675 22676 30011 30307
22676.1	29	30	24306.1	23762.1	1	F39	0.08411228087	0.541594662375634	22675 22676 29342 29343
30011.11	29	191	22523.1	22675.1	1	F40	0.07858879758	0.547305018600473	22523 22675 30011 30307 31043 31044
30307.11	29	238	22523.1	22675.1	2	F40	0.1023350157	0.547305018600473	22523 22675 30011 30307 31054
31044.1	29	307	30011.1	30089.1	1	F41	0.05451451543	0.469209001166175	30011 30089 31043 31044 33723
31054.1	29	316	29266.1	30307.1	2	F41	0.05106138259	0.470343507169061	29266 30307 31054 33771 33772
22675.11	30	29	24306.1	23762.1	2	F39	0.08411228087	0.541594662375634	22675 22676 30011 30307
22676.11	30	30	24306.1	23762.1	1	F39	0.5706253127	0.695121930672375	22675 22676 29342 29343
29342.1	30	179	22676.1	22854.1	2	F40	0.07013155738	0.542283730419739	22676 22854 29342 29343 35304 35305
29343.1	30	180	22676.1	22854.1	1	F40	0.07691457232	0.542283730419739	22676 22854 29342 29343 35219 35220
33782.1	30	474	30015.1	29342.1	2	F41	0.05324321732	0.430549422122764	31406 33782 35305 36486 36487 36488
35305.1	30	550	31406.1	35305.1	1	F42	0.05040529958	0.46740512490561	29342 30015 33782 35304 35305
22677.1	31	31	24035.1	24017.1	2	F39	0.5313176241	0.695667444565284	22677 22678 29335 29336
22769.1	31	57	25001.1	24090.1	1	F39	0.07297407988	0.397082200460239	22768 22769 30030 30039
29335.11	31	172	22530.1	22677.1	2	F40	0.05203953074	0.54425684257489	22530 22677 29335 29336
29336.11	31	173	22530.1	22677.1	1	F40	0.06205088986	0.54425684257489	22530 22677 29335 29336 31170 31171 31172
35963.1	31	583	30269.1	30304.1	2	F41	0.0588060685	0.404419076830903	30269 30304 33737 33738 35963 35964
22522.12	32	9	24541.1	23758.1	1	F39	0.0843812936	0.393000436524464	22520 22521 22522 22523 30466 30467
22523.12	32	10	24541.1	23758.1	1	F39	0.07258970764	0.393000436524464	22520 22521 22522 22523 30011 30307
22678.12	32	32	24035.1	24017.1	1	F39	0.5558805489	0.695667444565284	22677 22678
29150.11	32	156	22504.1	22520.1	1	F40	0.08682808482	0.399200539930036	22504 22520 29150 29151 30264 35216 35217 35218
29151.11	32	157	22504.1	22520.1	1	F40	0.07472608381	0.399200539930036	22504 22520 29150 29151 30264
31045.1	32	308	30091.1	30264.1	2	F41	0.05268644718	0.3985319640505	30091 30264 31045 31046 31047 33742 33743 33744
22680.1	33	33	23799.1	24082.1	2	F39	0.5207183705	0.698913375356474	22680 22681
22681.1	33	34	23799.1	24082.1	1	F39	0.08621322483	0.54622003752115	22680 22681 30089 30091
22680.11	34	33	23799.1	24082.1	2	F39	0.08621322483	0.54622003752115	22680 22681
22681.11	34	34	23799.1	24082.1	1	F39	0.5293956581	0.698913375356474	22680 22681 30089 30091
31045.11	34	308	30091.1	30264.1	2	F41	0.05395186417	0.474510200278597	30091 30264 31045 31046 31047 33742 33743 33744
31046.11	34	309	30091.1	30264.1	2	F41	0.05204954071	0.474510200278597	30091 30264 31045 31046 31047
22711.1	35	35	23774.1	23797.1	2	F39	0.4957805235	0.694871685221651	22711 22712 22713 30483 30484 30485
22712.1	35	36	23774.1	23797.1	1	F39	0.07608921047	0.542701473203055	22711 22712 22713 30015 30018
22713.1	35	37	23774.1	23797.1	1	F39	0.05239859881	0.542701473203055	22711 22712 22713 29344
30483.1	35	267	25691.1	22711.1	2	F40	0.08828727733	0.544884810097561	22711 25691 30483 30484 30485 31480 31482 31486
30484.1	35	268	25691.1	22711.1	2	F40	0.06810238762	0.544884810097561	22711 25691 30483 30484 30485 31437 31438 31439
30485.1	35	269	25691.1	22711.1	1	F40	0.08725241524	0.544884810097561	22711 25691 30483 30484 30485
22711.11	36	35	23774.1	23797.1	2	F39	0.07608921047	0.542701473203055	22711 22712 22713 30483 30484 30485
