id	sire	dam	sex	generation
483740	463460	461180	1	51
483770	462140	461050	2	51
483790	460780	460720	2	51
483810	462170	460790	2	51
483820	462140	461050	1	51
483830	461120	461210	2	51
483840	460780	460720	1	51
483870	460890	460950	2	51
483900	462170	460790	1	51
483910	460980	461030	2	51
483940	461120	461210	1	51
483950	460970	460910	2	51
483980	460890	460950	1	51
483990	460560	460470	2	51
484020	460980	461030	1	51
484060	460970	460910	1	51
484080	460560	460470	1	51
484090	461800	460490	2	51
484110	460870	461040	2	51
484120	461800	460490	1	51
484160	460870	461040	1	51
484170	460900	460430	2	51
484200	462000	460410	1	51
484230	462180	461750	2	51
484250	460840	460940	2	51
484260	462180	461750	1	51
484320	460840	460940	1	51
484360	461600	461910	1	51
484390	461600	461910	2	51
484410	461110	461920	2	51
484430	265740	460670	2	51
484440	460380	462190	1	51
484450	460380	462190	2	51
484470	462250	461980	2	51
484490	460740	462080	2	51
484520	462250	461980	1	51
484560	460740	462080	1	51
484640	460610	463010	1	51
484680	460750	463510	1	51
484720	460700	463670	1	51
484730	462070	463050	2	51
484750	463840	461730	2	51
484770	462130	461990	2	51
484780	461740	463590	1	51
484790	460290	463550	2	51
484820	462220	463850	1	51
484860	462070	463050	1	51
484890	460770	463430	2	51
484900	463840	461730	1	51
484940	462130	461990	1	51
484950	461100	461960	2	51
484960	460290	463550	1	51
490040	460770	463430	1	51
490070	461970	463030	2	51
490080	461100	461960	1	51
490110	461670	463730	2	51
490120	463500	461610	1	51
490150	464400	460370	2	51
490160	461970	463030	1	51
490190	460310	461880	2	51
490200	461670	463730	1	51
490240	464400	460370	1	51
490250	460660	462160	2	51
490260	460310	461880	1	51
490270	464680	460650	2	51
490280	460660	462160	1	51
490310	463620	461680	2	51
490320	464680	460650	1	51
490350	462040	463630	2	51
490360	463620	461680	1	51
490400	462040	463630	1	51
490410	463420	462230	2	51
490450	461940	461620	2	51
490480	463420	462230	1	51
490520	461940	461620	1	51
490550	460850	460960	2	51
490560	460850	460960	1	51
492100	465000	265780	1	51
492110	465000	265780	2	51
492130	464920	461650	2	51
492140	464920	461650	1	51
492170	463940	461660	2	51
492180	463940	461660	1	51
492210	464600	461830	2	51
492220	464600	461830	1	51
492260	464440	464490	1	51
492290	464440	464490	2	51
492300	464560	461950	1	51
492310	464560	461950	2	51
492330	463960	462030	2	51
492340	463960	462030	1	51
492370	460600	464350	2	51
492380	460600	464350	1	51
492400	461780	464390	1	51
492430	461780	464390	2	51
492450	461900	464430	2	51
492460	461900	464430	1	51
492490	463900	460320	2	51
492510	464640	460390	2	51
492540	464640	460390	1	51
492550	463960	462030	2	51
492580	463960	462030	1	51
492590	461810	463910	2	51
492620	461810	463910	1	51
492630	460210	464710	2	51
492660	460210	464710	1	51
492670	466460	463950	2	51
492700	466460	463950	1	51
492740	464320	464810	1	51
492780	463060	463210	1	51
492820	464520	466470	1	51
492860	464880	464750	1	51
492870	464880	464750	2	51
492890	464770	464890	2	51
492930	464800	463990	2	51
492940	464800	463990	1	51
492970	461930	464850	2	51
492980	461930	464850	1	51
493830	501360	501770	2	53
494010	461090	464530	2	51
494040	461090	464530	1	51
494050	461190	466430	2	51
494080	461190	466430	1	51
494090	463020	464630	2	51
494140	460420	464990	1	51
494160	463020	464630	1	51
494170	460420	464990	2	51
494240	462200	464310	1	51
494260	463900	460320	2	51
494270	483680	483850	2	52
494300	483680	483850	1	52
494310	484480	483330	2	52
494320	484480	483330	1	52
494350	483500	483590	2	52
494360	483500	483590	1	52
494390	484840	483120	2	52
494400	484840	483120	1	52
494470	460620	265790	2	51
494480	460620	265790	1	51
494510	464480	461130	2	51
494520	464480	461130	1	51
494530	464840	464590	2	51
494560	464840	464590	1	51
494610	484300	484150	2	52
494620	484300	484150	1	52
494660	490060	483030	1	52
494670	490060	483030	2	52
494700	490180	483090	1	52
494710	490180	483090	2	52
494720	490720	484130	1	52
494750	490720	484130	2	52
494760	483070	483270	1	52
494790	483070	483270	2	52
494820	484620	483360	1	52
494850	484620	483360	2	52
494860	490300	484050	1	52
494870	490300	484050	2	52
494900	483100	484210	1	52
494940	490500	483190	1	52
494970	483100	484210	2	52
494980	490460	483390	1	52
494990	490500	483190	2	52
500760	494600	503390	1	53
500780	501960	494290	1	53
500850	501100	502330	2	53
500860	502220	501390	1	53
500920	501300	501990	1	53
500940	494780	501730	1	53
500950	501300	501990	2	53
500990	494780	501730	2	53
501000	501360	501770	1	53
501020	484540	483410	1	52
501030	490460	483390	2	52
501060	483080	483490	1	52
501070	484540	483410	2	52
501140	483880	483200	1	52
501150	483080	483490	2	52
501180	483210	483710	1	52
501190	483880	483200	2	52
501210	483210	483710	2	52
501220	477180	483570	1	52
501250	477180	483570	2	52
501290	483150	484380	2	52
501310	483540	484270	2	52
501320	483150	484380	1	52
501340	483540	484270	1	52
501370	490380	484310	2	52
501400	490380	484310	1	52
501430	483340	484290	2	52
501460	483340	484290	1	52
501470	484580	483350	2	52
501480	484580	483350	1	52
501500	463940	461660	1	52
501510	463940	461660	2	52
501520	484240	490690	1	52
501530	484240	490690	2	52
501560	483720	484530	1	52
501580	483180	490530	1	52
